pop
car,2403181,2403178,2403190,2403190,2403172,2403199,2403172,2403184,2403172,2403196,2403175,2403196,2403169,2403178,2403172,2403187,2403163,2403172,2403175,2403196,2403175,2403175,2403178,2403175,2403169,2403187,2403181,2403163,2403196,2403178,2403178,2403190,2403193,2403166,2403178,2403193,2403172,2403178,2403163,2403178,2403196,2403193,2403205,2403181,2403178,2403175,2403187,2403181,2403178,2403196,2403172,2403166,2403187,2403166,2403199,2403196,2403178,2403178,2403190,2403175,2403178,2403172,2403178,2403178,2403187,2403172,2403166,2403196,2403175,2403184,2403187,2403181,2403193,2403223,2403187,2403190,2403211,2403175,2403178,2403190,2403187,2403172,2403175,2403166,2403208,2403172,2403202,2403172,2403175,2403178,2403175,2403187,2403181,2403169,2403172,2403199,2403187,2403187,2403196,2403184
diabetes,2865408,2865408,2865420,2865405,2865408,2865399,2865420,2865417,2865414,2865414,2865426,2865417,2865414,2865414,2865411,2865411,2865417,2865426,2865426,2865447,2865408,2865426,2865414,2865408,2865414,2865408,2865411,2865432,2865408,2865417,2865423,2865414,2865411,2865414,2865411,2865420,2865399,2865417,2865414,2865411,2865408,2865453,2865417,2865420,2865411,2865414,2865414,2865417,2865423,2865441,2865402,2865420,2865408,2865417,2865414,2865411,2865402,2865417,2865408,2865420,2865408,2865405,2865429,2865414,2865438,2865429,2865426,2865423,2865417,2865411,2865411,2865417,2865417,2865411,2865408,2865405,2865429,2865417,2865417,2865408,2865429,2865420,2865423,2865411,2865429,2865405,2865414,2865402,2865423,2865399,2865426,2865408,2865405,2865423,2865411,2865411,2865405,2865429,2865405,2865411
energy,2403181,2403181,2403175,2403184,2403184,2403187,2403193,2403193,2403172,2403175,2403172,2403169,2403190,2403163,2403196,2403187,2403172,2403178,2403190,2403178,2403172,2403181,2403190,2403184,2403169,2403190,2403172,2403190,2403181,2403199,2403181,2403190,2403175,2403184,2403187,2403181,2403178,2403175,2403175,2403184,2403178,2403181,2403175,2403175,2403190,2403169,2403172,2403169,2403172,2403193,2403193,2403202,2403169,2403193,2403196,2403193,2403190,2403175,2403181,2403190,2403196,2403184,2403166,2403175,2403181,2403184,2403199,2403172,2403166,2403175,2403172,2403187,2403178,2403187,2403172,2403190,2403190,2403178,2403193,2403184,2403166,2403169,2403193,2403184,2403175,2403169,2403169,2403193,2403196,2403178,2403196,2403187,2403172,2403184,2403181,2403178,2403175,2403190,2403172,2403175
house,2403193,2403172,2403175,2403184,2403175,2403169,2403196,2403190,2403172,2403196,2403193,2403184,2403205,2403178,2403184,2403196,2403178,2403190,2403190,2403187,2403190,2403178,2403190,2403178,2403184,2403172,2403181,2403211,2403193,2403190,2403196,2403175,2403169,2403190,2403175,2403193,2403196,2403196,2403163,2403181,2403166,2403181,2403175,2403178,2403181,2403178,2403190,2403175,2403178,2403184,2403187,2403178,2403172,2403178,2403172,2403211,2403184,2403187,2403178,2403175,2403196,2403163,2403175,2403190,2403184,2403181,2403181,2403199,2403181,2403175,2403172,2403190,2403178,2403175,2403169,2403208,2403163,2403181,2403166,2403202,2403175,2403169,2403184,2403181,2403172,2403193,2403184,2403187,2403187,2403175,2403181,2403196,2403178,2403184,2403166,2403184,2403181,2403166,2403184,2403169
medical,2403172,2403169,2403178,2403193,2403181,2403184,2403181,2403172,2403184,2403181,2403184,2403175,2403166,2403184,2403187,2403187,2403178,2403175,2403166,2403190,2403190,2403175,2403172,2403181,2403187,2403172,2403184,2403178,2403178,2403178,2403205,2403190,2403193,2403166,2403205,2403178,2403199,2403181,2403184,2403175,2403178,2403190,2403178,2403175,2403184,2403178,2403190,2403184,2403178,2403172,2403172,2403181,2403196,2403190,2403178,2403181,2403181,2403193,2403202,2403172,2403172,2403169,2403178,2403187,2403181,2403175,2403190,2403178,2403205,2403178,2403190,2403190,2403172,2403178,2403169,2403184,2403175,2403181,2403175,2403175,2403196,2403181,2403172,2403175,2403190,2403169,2403181,2403193,2403196,2403181,2403178,2403187,2403181,2403166,2403175,2403187,2403175,2403172,2403169,2403181


push
car,4383483,4383478,4383498,4383498,4383468,4383513,4383468,4383488,4383468,4383508,4383473,4383508,4383463,4383478,4383468,4383493,4383453,4383468,4383473,4383508,4383473,4383473,4383478,4383473,4383463,4383493,4383483,4383453,4383508,4383478,4383478,4383498,4383503,4383458,4383478,4383503,4383468,4383478,4383453,4383478,4383508,4383503,4383523,4383483,4383478,4383473,4383493,4383483,4383478,4383508,4383468,4383458,4383493,4383458,4383513,4383508,4383478,4383478,4383498,4383473,4383478,4383468,4383478,4383478,4383493,4383468,4383458,4383508,4383473,4383488,4383493,4383483,4383503,4383553,4383493,4383498,4383533,4383473,4383478,4383498,4383493,4383468,4383473,4383458,4383528,4383468,4383518,4383468,4383473,4383478,4383473,4383493,4383483,4383463,4383468,4383513,4383493,4383493,4383508,4383488
diabetes,5025753,5025753,5025773,5025748,5025753,5025738,5025773,5025768,5025763,5025763,5025783,5025768,5025763,5025763,5025758,5025758,5025768,5025783,5025783,5025818,5025753,5025783,5025763,5025753,5025763,5025753,5025758,5025793,5025753,5025768,5025778,5025763,5025758,5025763,5025758,5025773,5025738,5025768,5025763,5025758,5025753,5025828,5025768,5025773,5025758,5025763,5025763,5025768,5025778,5025808,5025743,5025773,5025753,5025768,5025763,5025758,5025743,5025768,5025753,5025773,5025753,5025748,5025788,5025763,5025803,5025788,5025783,5025778,5025768,5025758,5025758,5025768,5025768,5025758,5025753,5025748,5025788,5025768,5025768,5025753,5025788,5025773,5025778,5025758,5025788,5025748,5025763,5025743,5025778,5025738,5025783,5025753,5025748,5025778,5025758,5025758,5025748,5025788,5025748,5025758
energy,4383483,4383483,4383473,4383488,4383488,4383493,4383503,4383503,4383468,4383473,4383468,4383463,4383498,4383453,4383508,4383493,4383468,4383478,4383498,4383478,4383468,4383483,4383498,4383488,4383463,4383498,4383468,4383498,4383483,4383513,4383483,4383498,4383473,4383488,4383493,4383483,4383478,4383473,4383473,4383488,4383478,4383483,4383473,4383473,4383498,4383463,4383468,4383463,4383468,4383503,4383503,4383518,4383463,4383503,4383508,4383503,4383498,4383473,4383483,4383498,4383508,4383488,4383458,4383473,4383483,4383488,4383513,4383468,4383458,4383473,4383468,4383493,4383478,4383493,4383468,4383498,4383498,4383478,4383503,4383488,4383458,4383463,4383503,4383488,4383473,4383463,4383463,4383503,4383508,4383478,4383508,4383493,4383468,4383488,4383483,4383478,4383473,4383498,4383468,4383473
house,4383503,4383468,4383473,4383488,4383473,4383463,4383508,4383498,4383468,4383508,4383503,4383488,4383523,4383478,4383488,4383508,4383478,4383498,4383498,4383493,4383498,4383478,4383498,4383478,4383488,4383468,4383483,4383533,4383503,4383498,4383508,4383473,4383463,4383498,4383473,4383503,4383508,4383508,4383453,4383483,4383458,4383483,4383473,4383478,4383483,4383478,4383498,4383473,4383478,4383488,4383493,4383478,4383468,4383478,4383468,4383533,4383488,4383493,4383478,4383473,4383508,4383453,4383473,4383498,4383488,4383483,4383483,4383513,4383483,4383473,4383468,4383498,4383478,4383473,4383463,4383528,4383453,4383483,4383458,4383518,4383473,4383463,4383488,4383483,4383468,4383503,4383488,4383493,4383493,4383473,4383483,4383508,4383478,4383488,4383458,4383488,4383483,4383458,4383488,4383463
medical,4383468,4383463,4383478,4383503,4383483,4383488,4383483,4383468,4383488,4383483,4383488,4383473,4383458,4383488,4383493,4383493,4383478,4383473,4383458,4383498,4383498,4383473,4383468,4383483,4383493,4383468,4383488,4383478,4383478,4383478,4383523,4383498,4383503,4383458,4383523,4383478,4383513,4383483,4383488,4383473,4383478,4383498,4383478,4383473,4383488,4383478,4383498,4383488,4383478,4383468,4383468,4383483,4383508,4383498,4383478,4383483,4383483,4383503,4383518,4383468,4383468,4383463,4383478,4383493,4383483,4383473,4383498,4383478,4383523,4383478,4383498,4383498,4383468,4383478,4383463,4383488,4383473,4383483,4383473,4383473,4383508,4383483,4383468,4383473,4383498,4383463,4383483,4383503,4383508,4383483,4383478,4383493,4383483,4383458,4383473,4383493,4383473,4383468,4383463,4383483


