row,column,pop_in_A
10,10,39120
50,10,40291
100,10,40891
500,10,45691
1000,10,51691
5000,10,99703
10000,10,159727
50000,10,639907
100000,10,1240889
250000,10,3043081
500000,10,6047237
750000,10,9051405
1000000,10,12055561
1250000,10,15059729
1500000,10,18063119
1750000,10,21067287
2000000,10,24071443
