filepath, file no., pop_before_A, push_before_A, sgrow_before_A, sshrink_before_A,pop_in_A, push_in_A, sgrow_in_A, sshrink_in_A,pop_after_A, push_after_A, sgrow_after_A, sshrink_after_Apop_tota, push_total, sgrow_total, sshrink_total
linear_regression_additional/trace_car_only/vpython_car_042.txt,042,2306583,4200138,124,157711,28898,56372,7,1334,189,340,0,18,2335670,4256850,131,159063
linear_regression_additional/trace_car_only/vpython_car_043.txt,043,2306589,4200148,124,157711,28898,56372,7,1334,189,340,0,18,2335676,4256860,131,159063
linear_regression_additional/trace_car_only/vpython_car_044.txt,044,2306583,4200138,124,157711,28898,56372,7,1334,189,340,0,18,2335670,4256850,131,159063
linear_regression_additional/trace_car_only/vpython_car_045.txt,045,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_046.txt,046,2306643,4200238,124,157711,28898,56372,7,1334,189,340,0,18,2335730,4256950,131,159063
linear_regression_additional/trace_car_only/vpython_car_047.txt,047,2306583,4200138,124,157711,28898,56372,7,1334,189,340,0,18,2335670,4256850,131,159063
linear_regression_additional/trace_car_only/vpython_car_048.txt,048,2306583,4200138,124,157711,28898,56372,7,1334,189,340,0,18,2335670,4256850,131,159063
linear_regression_additional/trace_car_only/vpython_car_049.txt,049,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_car_050.txt,050,2306583,4200138,124,157711,28898,56372,7,1334,189,340,0,18,2335670,4256850,131,159063
linear_regression_additional/trace_car_only/vpython_car_051.txt,051,2306604,4200173,124,157711,28898,56372,7,1334,189,340,0,18,2335691,4256885,131,159063
linear_regression_additional/trace_car_only/vpython_car_052.txt,052,2306583,4200138,124,157711,28898,56372,7,1334,189,340,0,18,2335670,4256850,131,159063
linear_regression_additional/trace_car_only/vpython_car_053.txt,053,2306589,4200148,124,157711,28898,56372,7,1334,189,340,0,18,2335676,4256860,131,159063
linear_regression_additional/trace_car_only/vpython_car_054.txt,054,2306577,4200128,124,157711,28898,56372,7,1334,189,340,0,18,2335664,4256840,131,159063
linear_regression_additional/trace_car_only/vpython_car_055.txt,055,2306607,4200178,124,157711,28898,56372,7,1334,189,340,0,18,2335694,4256890,131,159063
linear_regression_additional/trace_car_only/vpython_car_056.txt,056,2306601,4200168,124,157711,28898,56372,7,1334,189,340,0,18,2335688,4256880,131,159063
linear_regression_additional/trace_car_only/vpython_car_057.txt,057,2306619,4200198,124,157711,28898,56372,7,1334,189,340,0,18,2335706,4256910,131,159063
linear_regression_additional/trace_car_only/vpython_car_058.txt,058,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_059.txt,059,2306595,4200158,124,157711,28898,56372,7,1334,189,340,0,18,2335682,4256870,131,159063
linear_regression_additional/trace_car_only/vpython_car_060.txt,060,2306601,4200168,124,157711,28898,56372,7,1334,189,340,0,18,2335688,4256880,131,159063
linear_regression_additional/trace_car_only/vpython_car_061.txt,061,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_car_062.txt,062,2306607,4200178,124,157711,28898,56372,7,1334,189,340,0,18,2335694,4256890,131,159063
linear_regression_additional/trace_car_only/vpython_car_063.txt,063,2306601,4200168,124,157711,28898,56372,7,1334,189,340,0,18,2335688,4256880,131,159063
linear_regression_additional/trace_car_only/vpython_car_064.txt,064,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_car_065.txt,065,2306586,4200143,124,157711,28898,56372,7,1334,189,340,0,18,2335673,4256855,131,159063
linear_regression_additional/trace_car_only/vpython_car_066.txt,066,2306610,4200183,124,157711,28898,56372,7,1334,189,340,0,18,2335697,4256895,131,159063
linear_regression_additional/trace_car_only/vpython_car_067.txt,067,2306595,4200158,124,157711,28898,56372,7,1334,189,340,0,18,2335682,4256870,131,159063
linear_regression_additional/trace_car_only/vpython_car_068.txt,068,2306586,4200143,124,157711,28898,56372,7,1334,189,340,0,18,2335673,4256855,131,159063
linear_regression_additional/trace_car_only/vpython_car_069.txt,069,2306592,4200153,124,157711,28898,56372,7,1334,189,340,0,18,2335679,4256865,131,159063
linear_regression_additional/trace_car_only/vpython_car_070.txt,070,2306580,4200133,124,157711,28898,56372,7,1334,189,340,0,18,2335667,4256845,131,159063
linear_regression_additional/trace_car_only/vpython_car_071.txt,071,2306601,4200168,124,157711,28898,56372,7,1334,189,340,0,18,2335688,4256880,131,159063
linear_regression_additional/trace_car_only/vpython_car_072.txt,072,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_car_073.txt,073,2306589,4200148,124,157711,28898,56372,7,1334,189,340,0,18,2335676,4256860,131,159063
linear_regression_additional/trace_car_only/vpython_car_074.txt,074,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_car_075.txt,075,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
linear_regression_additional/trace_car_only/vpython_car_076.txt,076,2306598,4200163,124,157711,28898,56372,7,1334,189,340,0,18,2335685,4256875,131,159063
