pop,push,grow,shrink
25232,48505,0,2383
49585,95862,0,5365
67764,131213,0,7591
144253,279954,0,16957
236520,459377,0,28255
439576,854241,0,53119
1690154,3286123,0,206251
2623457,5101030,0,320533
2725671,5299796,0,333049
4094584,7961793,0,500671
8965184,17433193,0,1097071
11449533,22264274,0,1401277
18199087,35389500,0,2227753
