timestamp,%cpu_user,%cpu_system
15:29:38,0,0
15:29:38,0,0
15:29:39,0,0
15:29:39,0,0
15:29:40,0,0
15:29:40,0,0
15:29:41,0,0
15:29:41,0,0
15:29:42,0,0
15:29:42,0,0
15:29:43,0,0
15:29:43,0,0
15:29:44,0,0
15:29:44,0,0
15:29:45,0,0
15:29:45,0,0
15:29:46,0,0
15:29:47,0,0
15:29:47,0,0
15:29:48,0,0
15:29:48,0,0
15:29:49,0,0
15:29:49,0,0
15:29:50,0,0
15:29:50,0,0
15:29:51,0,0
15:29:51,0,0
15:29:52,0,0
15:29:52,0,0
15:29:53,0,0
15:29:53,0,0
15:29:54,0,0
15:29:54,0,0
15:29:55,0,0
15:29:55,0,0
15:29:56,0,0
15:29:56,0,0
15:29:57,0,0
15:29:57,0,0
15:29:58,0,0
15:29:58,0,0
15:29:59,0,0
15:29:59,0,0
15:30:00,0,0
15:30:01,0,0
15:30:01,0,0
15:30:02,0,0
15:30:02,0,0
15:30:03,0,0
15:30:03,0,0
15:30:04,0,0
15:30:04,0,0
15:30:05,0,0
15:30:05,0,0
15:30:06,0,0
15:30:06,0,0
15:30:07,0,0
15:30:07,0,0
15:30:08,0,0
15:30:08,0,0
15:30:09,0,0
15:30:09,0,0
15:30:10,0,0
15:30:10,0,0
15:30:11,0,0
15:30:11,0,0
15:30:12,0,0
15:30:12,0,0
15:30:13,0,0
15:30:13,0,0
15:30:14,0,0
15:30:15,0,0
15:30:15,0,0
15:30:16,0,0
15:30:16,0,0
15:30:17,0,0
15:30:17,0,0
15:30:18,0,0
15:30:18,0,0
15:30:19,0,0
15:30:19,0,0
15:30:20,0,0
15:30:20,0,0
15:30:21,0,0
15:30:21,0,0
15:30:22,0,0
15:30:22,0,0
15:30:23,0,0
15:30:23,0,0
15:30:24,0,0
15:30:24,0,0
15:30:25,0,0
15:30:25,0,0
15:30:26,171.2,0.2
15:30:26,156.9,0.4
15:30:27,252.9,0.6
15:30:27,100.0,0.8
15:30:28,98.0,0.8
15:30:28,96.1,1.0
15:30:29,0,0
15:30:29,0,0
15:30:30,0,0
15:30:31,5.8,0.1
15:30:31,254.9,0.2
15:30:32,102.0,0.4
15:30:32,252.9,0.6
15:30:33,100.0,0.8
15:30:33,98.0,0.9
15:30:34,0,0
15:30:34,0,0
15:30:35,0,0
15:30:35,0,0
15:30:36,55.8,0.2
15:30:36,264.0,0.4
15:30:37,192.2,0.5
15:30:37,121.6,0.7
15:30:38,98.0,0.8
15:30:38,96.1,0.9
15:30:39,0,0
15:30:39,0,0
15:30:40,0,0
15:30:40,0,0
15:30:41,29.4,0.1
15:30:41,235.3,0.3
15:30:42,102.0,0.5
15:30:42,237.3,0.7
15:30:43,98.0,0.8
15:30:43,100.0,1.0
15:30:44,0,0
15:30:44,0,0
15:30:45,0,0
15:30:45,0,0
15:30:46,135.3,0.2
15:30:46,160.8,0.4
15:30:47,229.4,0.5
15:30:47,102.0,0.8
15:30:48,98.0,0.8
15:30:48,100.0,1.0
15:30:49,0,0
15:30:49,0,0
15:30:50,0,0
15:30:50,0,0
15:30:51,239.2,0.2
15:30:51,100.0,0.4
15:30:52,192.2,0.5
15:30:52,131.5,0.7
15:30:53,98.0,0.8
15:30:53,98.0,0.9
15:30:54,0,0
15:30:54,0,0
15:30:55,0,0
15:30:55,0,0
15:30:56,58.8,0.2
15:30:56,243.1,0.3
15:30:57,98.0,0.5
15:30:58,221.6,0.7
15:30:58,100.0,0.8
