timestamp,%%cpu,%%memory
11:26:11,0.0,15.6
11:26:11,0.0,15.6
11:26:12,0.0,15.6
11:26:12,0.0,15.6
11:26:13,1.9,15.6
11:26:13,0.0,15.6
11:26:14,0.0,15.6
11:26:14,0.0,15.6
11:26:15,0.0,15.6
11:26:15,6.0,15.6
11:26:16,28.8,15.6
11:26:16,0.0,15.6
11:26:17,0.0,15.6
11:26:17,0.0,15.6
11:26:18,0.0,15.6
11:26:18,0.0,15.6
11:26:19,0.0,15.6
11:26:19,0.0,15.6
11:26:20,0.0,15.6
11:26:20,0.0,15.6
11:26:21,0.0,15.6
11:26:22,2.0,15.6
11:26:22,0.0,15.6
11:26:23,0.0,15.6
11:26:23,0.0,15.6
11:26:24,0.0,15.6
11:26:24,0.0,15.6
11:26:25,0.0,15.6
11:26:25,2.0,15.6
11:26:26,0.0,15.6
11:26:26,0.0,15.6
11:26:27,0.0,15.6
11:26:27,132.7,15.6
11:26:28,166.7,15.6
11:26:28,160.8,15.6
11:26:29,164.7,15.6
11:26:29,164.0,15.6
11:26:30,158.8,15.6
11:26:30,156.9,15.6
11:26:31,160.8,15.6
11:26:31,158.8,15.6
11:26:32,139.2,15.6
11:26:32,170.6,15.6
11:26:33,174.5,15.6
11:26:33,156.9,15.6
11:26:34,168.6,15.6
11:26:34,156.0,15.6
11:26:35,143.1,15.6
11:26:35,107.8,15.6
11:26:36,96.1,15.6
11:26:36,102.0,15.6
11:26:37,100.0,15.6
11:26:37,140.0,15.6
11:26:38,139.2,15.6
11:26:38,156.9,15.6
11:26:39,158.0,15.6
11:26:39,160.8,15.6
11:26:40,141.2,15.6
11:26:40,166.7,15.6
11:26:41,162.7,15.6
11:26:41,162.7,15.6
11:26:42,162.7,15.6
11:26:42,174.0,15.6
11:26:43,152.9,15.6
11:26:43,158.8,15.6
11:26:44,137.3,15.6
11:26:44,100.0,15.6
11:26:45,100.0,15.6
11:26:45,100.0,15.6
11:26:46,100.0,15.6
11:26:46,98.0,15.6
11:26:47,100.0,15.6
11:26:47,100.0,15.6
11:26:48,100.0,15.6
11:26:49,98.0,15.6
11:26:49,100.0,15.6
11:26:50,100.0,15.6
11:26:50,98.0,15.6
11:26:51,15.7,15.6
11:26:51,0.0,15.6
11:26:52,0.0,15.6
11:26:52,0.0,15.6
11:26:53,2.0,15.6
11:26:53,0.0,15.6
11:26:54,0.0,15.6
11:26:54,0.0,15.6
11:26:55,0.0,15.6
11:26:55,92.3,15.6
11:26:56,137.3,15.6
11:26:56,158.8,15.6
11:26:57,152.9,15.6
11:26:57,154.9,15.6
11:26:58,149.0,15.6
11:26:58,156.0,15.6
11:26:59,164.7,15.6
11:26:59,137.3,15.6
11:27:00,166.7,15.6
11:27:00,166.7,15.6
11:27:01,172.5,15.6
11:27:01,174.0,15.6
11:27:02,160.8,15.6
11:27:02,98.0,15.6
11:27:03,98.0,15.6
11:27:03,98.0,15.6
11:27:04,100.0,15.6
11:27:04,143.1,15.6
11:27:05,168.6,15.6
11:27:05,166.7,15.6
11:27:06,168.0,15.6
11:27:06,156.9,15.6
11:27:07,156.9,15.6
11:27:07,151.0,15.6
11:27:08,149.0,15.6
11:27:08,168.6,15.6
11:27:09,170.6,15.6
11:27:09,166.7,15.6
11:27:10,170.6,15.6
11:27:10,158.8,15.6
11:27:11,100.0,15.6
11:27:11,98.0,15.6
11:27:12,100.0,15.6
11:27:12,100.0,15.6
11:27:13,149.0,15.6
11:27:13,162.7,15.6
11:27:14,152.9,15.6
11:27:14,166.7,15.6
11:27:15,160.8,15.6
11:27:16,156.9,15.6
11:27:16,162.7,15.6
11:27:17,149.0,15.6
11:27:17,176.5,15.6
11:27:18,160.8,15.6
11:27:18,162.0,15.6
11:27:19,152.9,15.6
11:27:19,139.2,15.6
11:27:20,113.7,15.6
11:27:20,100.0,15.6
