pop
car,2306607,2306598,2306592,2306598,2306586,2306580,2306592,2306592,2306613,2306613,2306592,2306589,2306610,2306586,2306577,2306589,2306598,2306595,2306610,2306610,2306613,2306589,2306601,2306595,2306595,2306604,2306592,2306598,2306586,2306583,2306604,2306610,2306598,2306595,2306592,2306583,2306589,2306601,2306595,2306583,2306598,2306583,2306589,2306583,2306592,2306643,2306583,2306583,2306598,2306583,2306604,2306583,2306589,2306577,2306607,2306601,2306619,2306592,2306595,2306601,2306598,2306607,2306601,2306598,2306586,2306610,2306595,2306586,2306592,2306580,2306601,2306598,2306589,2306598,2306598,2306598,2306592,2306589,2306595,2306598,2306598,2306589,2306592,2306598,2306586,2306592,2306592,2306592,2306592,2306580,2306583,2306586,2306598,2306583,2306580,2306580,2306586,2306601,2306586,2306589,2306583,2306613,2306604,2306577,2306586,2306613,2306598,2306595,2306583,2306592,2306598,2306595,2306589,2306586,2306601,2306583,2306598,2306607,2306589,2306607,2306592,2306601,2306586,2306592,2306622,2306592,2306601,2306589,2306598,2306583,2306583,2306601,2306589,2306595,2306595,2306589,2306598,2306589,2306592,2306610,2306589,2306583,2306598,2306595,2306607,2306595,2306592,2306607,2306586,2306628,2306598,2306586,2306586,2306589,2306601,2306589,2306598,2306589,2306583,2306601,2306583,2306589,2306586,2306583,2306613,2306583,2306595,2306583,2306616,2306589,2306598,2306592,2306592,2306589,2306595,2306589,2306592,2306592,2306601,2306589,2306586,2306580,2306592,2306604,2306610,2306604,2306595,2306610,2306613,2306583,2306607,2306595,2306586,2306595,2306592,2306583,2306580,2306592,2306580,2306592
diabetes
energy
house
medical


push
car,4200178,4200163,4200153,4200163,4200143,4200133,4200153,4200153,4200188,4200188,4200153,4200148,4200183,4200143,4200128,4200148,4200163,4200158,4200183,4200183,4200188,4200148,4200168,4200158,4200158,4200173,4200153,4200163,4200143,4200138,4200173,4200183,4200163,4200158,4200153,4200138,4200148,4200168,4200158,4200138,4200163,4200138,4200148,4200138,4200153,4200238,4200138,4200138,4200163,4200138,4200173,4200138,4200148,4200128,4200178,4200168,4200198,4200153,4200158,4200168,4200163,4200178,4200168,4200163,4200143,4200183,4200158,4200143,4200153,4200133,4200168,4200163,4200148,4200163,4200163,4200163,4200153,4200148,4200158,4200163,4200163,4200148,4200153,4200163,4200143,4200153,4200153,4200153,4200153,4200133,4200138,4200143,4200163,4200138,4200133,4200133,4200143,4200168,4200143,4200148,4200138,4200188,4200173,4200128,4200143,4200188,4200163,4200158,4200138,4200153,4200163,4200158,4200148,4200143,4200168,4200138,4200163,4200178,4200148,4200178,4200153,4200168,4200143,4200153,4200203,4200153,4200168,4200148,4200163,4200138,4200138,4200168,4200148,4200158,4200158,4200148,4200163,4200148,4200153,4200183,4200148,4200138,4200163,4200158,4200178,4200158,4200153,4200178,4200143,4200213,4200163,4200143,4200143,4200148,4200168,4200148,4200163,4200148,4200138,4200168,4200138,4200148,4200143,4200138,4200188,4200138,4200158,4200138,4200193,4200148,4200163,4200153,4200153,4200148,4200158,4200148,4200153,4200153,4200168,4200148,4200143,4200133,4200153,4200173,4200183,4200173,4200158,4200183,4200188,4200138,4200178,4200158,4200143,4200158,4200153,4200138,4200133,4200153,4200133,4200153
diabetes
energy
house
medical


